12,2016-12-30,05:14,0,0,4,8
13,2016-12-30,05:14,0,1,7,1
14,2016-12-30,05:14,0,0,0,0
15,2016-12-30,05:14,0,0,0,0
16,2016-12-30,05:14,0,0,0,0
17,2016-12-30,05:14,0,0,0,0
18,2016-12-30,05:14,0,0,0,0
19,2016-12-30,05:14,0,0,0,0
1,2016-12-30,05:15,0,0,0,0
2,2016-12-30,05:15,0,0,0,0
3,2016-12-30,05:15,0,0,0,0
4,2016-12-30,05:15,0,0,0,0
5,2016-12-30,05:15,0,0,0,0
6,2016-12-30,05:15,0,0,3,0
7,2016-12-30,05:15,0,0,0,0
8,2016-12-30,05:15,0,0,0,0
9,2016-12-30,05:15,0,0,0,2
10,2016-12-30,05:15,0,1,5,5
11,2016-12-30,05:15,0,0,2,9
12,2016-12-30,05:15,0,2,4,10
13,2016-12-30,05:15,0,0,7,1
14,2016-12-30,05:15,0,0,0,0
15,2016-12-30,05:15,0,0,0,0
16,2016-12-30,05:15,0,0,0,0
17,2016-12-30,05:15,0,0,0,0
18,2016-12-30,05:15,0,0,0,0
19,2016-12-30,05:15,0,0,0,0
1,2016-12-30,05:16,0,0,0,0
2,2016-12-30,05:16,0,0,0,0
3,2016-12-30,05:16,0,0,0,0
4,2016-12-30,05:16,0,0,0,0
5,2016-12-30,05:16,0,0,0,0
6,2016-12-30,05:16,0,0,3,0
7,2016-12-30,05:16,0,0,0,0
8,2016-12-30,05:16,0,0,0,0
9,2016-12-30,05:16,5,0,5,2
10,2016-12-30,05:16,0,0,5,5
11,2016-12-30,05:16,0,0,2,9
12,2016-12-30,05:16,0,0,4,10
13,2016-12-30,05:16,0,0,7,1
14,2016-12-30,05:16,0,0,0,0
15,2016-12-30,05:16,0,0,0,0
16,2016-12-30,05:16,0,0,0,0
17,2016-12-30,05:16,0,0,0,0
18,2016-12-30,05:16,0,0,0,0
19,2016-12-30,05:16,0,0,0,0
1,2016-12-30,05:17,0,0,0,0
2,2016-12-30,05:17,0,0,0,0
3,2016-12-30,05:17,0,0,0,0
